name,type,ra_deg,dec_deg,area_sqdeg,opacity,sequence,related_barnard
LDN0638,DrkN,282.6061,7.3093,20.000,2,638,
LDN0639,DrkN,288.1174,5.0851,1.370,2,639,
LDN0640,DrkN,290.6223,4.0966,1.620,1,640,
LDN0641,DrkN,289.1175,5.0897,0.380,1,641,
LDN0642,DrkN,289.8676,5.0932,0.554,3,642,140
LDN0643,DrkN,291.0190,4.8318,0.015,5,643,
LDN0644,DrkN,289.8607,6.5932,2.340,2,644,
LDN0645,DrkN,289.8572,7.3432,5.000,1,645,
LDN0646,DrkN,288.6034,8.0874,2.520,2,646,
LDN0647,DrkN,289.9815,7.5104,0.206,4,647,330
LDN0648,DrkN,279.8290,12.7128,0.011,6,648,
LDN0649,DrkN,288.1006,8.6684,23.000,2,649,
LDN0650,DrkN,279.9523,13.0467,0.050,4,650,
LDN0651,DrkN,289.8537,8.0932,0.025,4,651,
LDN0652,DrkN,289.6021,8.4253,0.217,2,652,
LDN0653,DrkN,280.5774,13.0497,0.643,2,653,
LDN0654,DrkN,292.3589,7.1045,4.560,1,654,331 332
LDN0655,DrkN,290.0767,8.5442,0.020,5,655,
LDN0656,DrkN,290.3271,8.4620,0.001,5,656,
LDN0657,DrkN,290.3501,8.8954,0.075,5,657,
LDN0658,DrkN,290.2241,9.0949,0.016,4,658,
LDN0659,DrkN,280.3223,14.0485,1.460,3,659,
LDN0660,DrkN,279.3196,14.5437,2.280,1,660,
LDN0661,DrkN,290.4492,9.0959,0.008,4,661,
LDN0662,DrkN,284.3316,12.4009,0.416,1,662,
LDN0663,DrkN,294.2323,7.5629,0.005,6,663,335
LDN0664,DrkN,290.2210,9.7615,0.183,4,664,
LDN0665,DrkN,279.9430,14.8800,0.077,3,665,
LDN0666,DrkN,280.1922,15.0479,0.131,4,666,
LDN0667,DrkN,286.3337,12.0769,2.630,3,667,
LDN0668,DrkN,295.8586,7.3701,0.037,3,668,338
LDN0669,DrkN,285.5799,12.8234,1.280,4,669,128
LDN0670,DrkN,295.6074,7.6190,0.168,2,670,
LDN0671,DrkN,294.3533,8.4468,0.102,2,671,
LDN0672,DrkN,296.8599,7.1244,0.687,1,672,
LDN0673,DrkN,290.2139,11.2615,0.199,6,673,
LDN0674,DrkN,292.0934,10.4367,0.458,1,674,
LDN0675,DrkN,290.9899,11.0984,0.003,6,675,
LDN0676,DrkN,290.3878,11.5123,0.006,6,676,
LDN0677,DrkN,290.5876,11.5632,0.006,6,677,
LDN0679,DrkN,288.3311,12.7529,0.936,3,678,
LDN0678,DrkN,296.1031,8.6212,0.050,4,679,
LDN0680,DrkN,296.1780,8.6381,0.007,5,680,
LDN0681,DrkN,296.1023,8.7878,0.066,2,681,339
LDN0683,DrkN,290.3358,11.9287,0.104,3,682,
LDN0682,DrkN,292.2161,10.9372,0.052,3,683,333
LDN0684,DrkN,290.4584,12.4293,0.185,5,684,
LDN0685,DrkN,292.4639,11.4384,0.037,2,685,
LDN0686,DrkN,290.8336,12.4310,0.009,4,686,
LDN0687,DrkN,294.6444,10.4148,0.006,5,687,
LDN0688,DrkN,294.6942,10.4816,0.016,5,688,142
LDN0689,DrkN,295.0952,10.2834,0.057,4,689,
LDN0690,DrkN,295.1700,10.3337,0.035,3,690,
LDN0691,DrkN,292.3365,11.9378,0.063,2,691,
LDN0692,DrkN,290.5811,12.9299,0.050,4,692,
LDN0693,DrkN,287.5723,14.4994,17.000,2,693,
LDN0694,DrkN,295.1672,10.9504,0.109,6,694,143
LDN0695,DrkN,296.0948,10.4545,0.351,1,695,
LDN0696,DrkN,292.3334,12.6045,0.019,2,696,
LDN0697,DrkN,285.5636,16.0734,0.561,2,697,
LDN0698,DrkN,291.5307,13.1008,0.012,6,698,
LDN0699,DrkN,292.3326,12.7711,0.020,2,699,
LDN0700,DrkN,295.3159,11.2511,0.005,4,700,
LDN0701,DrkN,293.7355,12.2774,0.016,4,701,334
LDN0702,DrkN,294.1106,12.2791,0.005,5,702,336
LDN0703,DrkN,296.8934,10.8413,0.020,2,703,
